Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
58,2,38,i m p l e m e n t,implement{SPACE},2029,i n t e r j e c t,,0,4,1737,interjection{SPACE},3190,1,0,P,516,1685
58,2,61,J a c k m a n,jackman{SPACE},2192,J a g g e r ,jager,5123,3,1940,jagger{SPACE},1542,1,0,P,1032,2885
58,2,73,l a b e l,label{SPACE},1203,l i b e l,libel{SPACE},4195,1,858,libel{SPACE},1470,1,1,P,6708,1343
58,2,76,l o c k e t ,locket{SPACE},1234,l o q u a c i o u s ,,0,3,1828,loquacious{SPACE},2503,1,0,P,7740,4302
58,2,19,M a n d a r i n ,mandarin{SPACE},2526,M a n d e l a,mandela{SPACE},4719,1,972,mandela{SPACE},1787,1,1,P,516,2127
58,2,56,m e d i u m ,medium{SPACE},2042,m e a g e r ,subpar{SPACE},9056,1,1081,meager{SPACE},2180,1,0,P,1032,3851
58,2,66,m u r d e r ,murder{SPACE},1640,M e r c u r y,,0,4,7105,mercury{SPACE},2804,1,0,P,1032,1355
58,2,24,m i l i t a r y ,military{SPACE},2631,M i l l e r ,,0,2,1879,miller{SPACE},2303,1,0,P,516,3113
58,2,12,m i l k ,milk{SPACE},1262,m i n c e,mince{SPACE},4119,1,1382,mince{SPACE},1246,1,1,P,1032,1398
58,2,47,m o n o p o l y ,monopoly{SPACE},3458,m o n o t o n y ,monoto,9614,1,4479,monotony{SPACE},2654,1,0,P,516,4445
58,2,14,M o n a r c h,monarch{SPACE},1924,M o n r o e ,monroe{SPACE},7616,1,1162,monroe{SPACE},1699,1,1,P,1548,3372
58,2,22,n a r r a t e,narrate{SPACE},2040,N a i r o b i,nio,9998,4,7090,nairobi{SPACE},2229,1,0,P,516,4335
58,2,40,n u m b n e s s ,numbness{SPACE},2119,n u l l i f y,{SPACE},7677,2,1297,nullefy{SPACE},2922,1,0,P,516,1842
58,2,29,n e u r a l ,neural{SPACE},1739,N u r e m b e r g,luxomborg,9520,2,1650,nuremburg{SPACE},3544,1,0,P,516,5272
58,2,30,o b s t r u c t ,obstruct{SPACE},2848,o b s c u r e,{SPACE},8308,3,3027,obscure{SPACE},2179,1,0,P,516,2802
58,2,27,o m n i v o r e ,omnivore{SPACE},2178,o m n i p o t e n t ,omnipotent{SPACE},6685,1,897,omnipotent{SPACE},4280,1,1,P,516,2123
58,2,72,o s t e o p o r o s i s ,oestoporis{SPACE},7984,o s t e n t a t i o u s ,,0,2,876,ostentatious{SPACE},3097,1,0,P,9288,4755
58,2,70,o s m o s i s,osmosis{SPACE},2156,O s w a l d ,oswald{SPACE},6130,1,853,oswald{SPACE},1852,1,1,P,1032,2311
58,2,33,O n t a r i o,ontario{SPACE},1955,O t t a w a ,,0,2,787,ot{LEFTARROW}{LEFTARROW}towa{SPACE},17169,1,0,B,516,3281
58,2,16,p l a c e b o,placebo{SPACE},2531,p a n a c e a,panacea{SPACE},5926,1,1174,panacea{SPACE},2230,1,1,B,1548,2136
58,2,8,p a r a d i g m ,paradigm{SPACE},2420,p a r a g o n,,0,3,4910,paradigm{SPACE},2467,1,0,B,516,3204
58,2,48,p r o m i s c u o u s,promiscuous{SPACE},3361,p o l y g a m y ,poligamy,7071,1,1089,polygamy{SPACE},2687,1,1,B,3612,2647
58,2,11,p r o d i g y,prodigy{SPACE},1968,p r e c o c i o u s ,,0,2,4763,precocious{SPACE},4140,1,0,B,1032,6340
58,2,15,p r o g n o s i s,prognosis{SPACE},2589,p r o p h e c y ,p,9905,2,3007,prophecy{SPACE},2763,1,0,B,1548,3828
58,2,64,S a i g o n ,saigon{SPACE},1633,S e o u l,,0,2,846,seoul{SPACE},1491,1,0,B,1032,2352
58,2,55,S h e l l e y,shelley{SPACE},1645,S h a w ,,0,2,746,shaw{SPACE},1676,1,0,B,1032,3227
58,2,26,S w i t z e r l a n d,switzerland{SPACE},3008,S i c i l y ,sicily{SPACE},6382,1,1136,sicily{SPACE},1347,1,1,B,516,2355
58,2,4,S o l o ,solo{SPACE},1612,S k y w a l k e r,skywalker{SPACE},5229,1,1461,skywalker{SPACE},2851,1,1,B,7740,2652
58,2,51,s u b s t i t u t e ,substitute{SPACE},4195,s u r r o g a t e,surragate,6875,1,1246,surrogate{SPACE},2330,1,1,B,1032,3623
58,2,42,T o l s t o y,tolstoy{SPACE},2960,T h o r e a u,,0,2,675,thoreau{SPACE},2262,1,0,B,3612,2970
58,2,5,t w i t c h ,twitch{SPACE},2188,t i c,tik,9762,4,7392,tic{SPACE},1232,1,0,B,8772,2137
58,2,37,t y p h o o n,typhoon{SPACE},1869,t s u n a m i,tsunami{SPACE},6268,1,783,tsunami{SPACE},3213,1,1,B,516,1813
58,2,17,T e s l a,tesla{SPACE},1225,T u r i n g ,{SPACE},6244,2,1075,turning{SPACE},1547,1,0,B,1548,3957
58,2,50,W e a s l e y,weasley{SPACE},1902,W a t s o n ,watson{SPACE},5564,1,1598,watson{SPACE},1630,1,1,B,3612,1566
58,2,67,W a l k e r ,walker{SPACE},2225,W a y n e,wayne{SPACE},3361,1,1025,wayne{SPACE},1292,1,1,B,1032,1310
58,2,18,Y o s e m i t e ,yosemite{SPACE},2579,Y e l l o w s t o n e,,0,3,5033,yellowstone{SPACE},3412,1,0,B,516,2947
9,1,26,a b a n d o n,abandon{SPACE},2083,a b d i c a t e ,{SPACE},4137,2,2200,abdicate{SPACE},2578,1,0,B,4129,6795
9,1,9,a b r o a d ,abroad{SPACE},2301,a b o r i g i n e,,0,4,8381,aborigine{SPACE},3163,1,0,B,4209,8386
9,1,31,a v o i d,avoid{SPACE},2253,a b s t a i n,{SPACE},5390,4,1476,abstain{SPACE},2587,1,0,B,3799,3670
9,1,5,a d v a n c e,advance{SPACE},2922,a d v o c a t e ,s,9342,4,10049,advocate{SPACE},3177,1,0,B,5222,5324
9,1,6,A u s t e n ,austen{SPACE},2914,A l c o t t ,{SPACE},5362,2,3180,alcott{SPACE},3679,1,0,B,8326,5279
9,1,3,a b n o r m a l i t y,abnormality{SPACE},5877,a n a c h r o n i s m,,0,4,5882,anachronism{SPACE},5017,1,0,B,6753,9288
9,1,33,a c r o n y m,acronym{SPACE},2480,a n a g r a m,,0,4,4583,anagram{SPACE},2321,1,0,B,3813,6296
9,1,70,A l p s ,alps{SPACE},1329,A n d e s,{SPACE},6903,3,2541,andes{SPACE},1487,1,0,B,3731,3684
9,1,23,A r i e l,ariel{SPACE},1939,A u r o r a ,{SPACE},7004,4,2542,aurora{SPACE},2818,1,0,B,4129,5200
9,1,22,B e i j i n g,beijing{SPACE},2980,B a n g k o k,{SPACE},5230,2,1148,bangkok{SPACE},5834,1,0,B,4129,3706
9,1,73,b a r g a i n,bargain{SPACE},1923,b a r t e r ,barter{SPACE},8833,1,1299,barter{SPACE},2140,1,1,B,4129,3677
9,1,35,B u c k i n g h a m ,buckingham{SPACE},3683,B e c k h a m,{SPACE},4231,2,944,beckham{SPACE},2843,1,0,B,5431,6888
9,1,71,b i l a t e r a l,bilateral{SPACE},3010,b i n o m i a l ,{SPACE},8416,2,2070,binomial{SPACE},3379,1,0,B,4129,3660
9,1,61,c o r p s e ,corpse{SPACE},2187,c a r c a s s,,0,4,5260,carcass{SPACE},2171,1,0,B,4270,6204
9,1,13,C h r i s t i e ,christie{SPACE},3341,C a r r o l l,{SPACE},3616,4,2268,carroll{SPACE},2632,1,0,B,7250,5234
9,1,10,c a m o f l a u g e ,camouflage{SPACE},6493,c h a m e l e o n,camell,9828,1,3080,chamellion{SPACE},3845,1,0,B,4893,3382
9,1,40,C h a m b e r l a i n,chamberlain{SPACE},3327,C h u r c h i l l,{SPACE},3628,4,1823,churchill{SPACE},4118,1,0,B,4157,6713
9,1,62,C o n r a d ,conrad{SPACE},2095,C l e m e n s,{SPACE},3556,4,2461,clemens{SPACE},2389,1,0,B,4661,4399
9,1,11,n u m b n e s s ,numbness{SPACE},3737,c o n g r u e n t,{SPACE},6712,2,2500,congruent{SPACE},3427,1,0,U,5184,4712
9,1,7,n e u r a l ,neural{SPACE},2662,C o n n e r y,{SPACE},4916,2,2271,connery{SPACE},2950,1,0,U,7765,8315
9,1,42,o b s t r u c t ,obstruct{SPACE},3393,c o v e n a n t ,,0,4,2995,covenant{SPACE},5731,1,0,U,4816,4383
9,1,67,o m n i v o r e ,omnivore{SPACE},3836,D a n t e,{SPACE},3746,2,1554,dante{SPACE},2142,1,0,U,5286,3312
9,1,29,o s t e o p o r o s i s ,osteoporosis{SPACE},8279,d e f a u l t,default{SPACE},7554,1,2892,default{SPACE},2631,1,1,U,7451,3105
9,1,47,o s m o s i s,osmosis{SPACE},3413,d e p l e t e,deplete,9717,1,1990,deplete{SPACE},4887,1,1,U,4129,5701
9,1,66,t w i t c h ,twitch{SPACE},2022,d i v e r g e,{SPACE},5022,4,997,diverge{SPACE},2781,1,0,U,3822,4439
9,1,50,t y p h o o n,typhoon{SPACE},2143,e c c e n t r i c,different{SPACE},6722,1,1553,eccentric{ENTER}{SPACE},4559,1,0,U,2898,6264
9,1,37,T e s l a,tesla{SPACE},2637,e x o r c i s m ,,0,4,2290,exorcism{SPACE},3456,1,0,U,4662,4695
9,1,59,W e a s l e y,weasley{SPACE},3399,F a r a d a y,{SPACE},5312,4,1969,faraday{SPACE},2947,1,0,U,6196,6330
9,1,54,W a l k e r ,walker{SPACE},1509,f o l i a g e,leaves{SPACE},8145,1,1295,foliage{SPACE},2267,1,0,U,4765,4775
9,1,60,Y o s e m i t e ,yosemite{SPACE},3180,G a r l a n d,{SPACE},6495,4,1130,garland{SPACE},2746,1,0,U,7233,4722
9,1,38,e q u a t i o n ,equation{SPACE},3057,g o s l i n g,goosling,8411,1,2817,gosling{SPACE},3190,1,0,U,3913,7764
9,1,65,s k e l e t o n ,skeleton{SPACE},4695,H a n c o c k,{SPACE},8253,4,1258,hancock{SPACE},2911,1,0,U,4669,3849
9,1,41,R o w l i n g,rowling{SPACE},4382,H e l s i n k i ,{SPACE},2091,2,1553,helsinki{SPACE},5004,1,0,U,4840,7388
9,1,14,g e c k o,gecko{SPACE},2124,h o i s t,,0,4,4292,hoist{SPACE},2305,1,0,U,4945,3914
9,1,28,T h a t c h e r ,thatcher{SPACE},2256,H u s s e i n,{SPACE},5904,2,1617,hussein{SPACE},2121,1,0,U,5442,4739
9,1,4,S a w y e r ,sawyer{SPACE},4464,i d i o s y n c r a s y ,,0,4,4226,idiosyncrasy{SPACE},5354,1,0,U,7278,9288
9,1,34,m e n t i o n,mention{SPACE},2353,i n t e r j e c t,{SPACE},8158,4,924,interject{SPACE},3162,1,0,R,4646,4313
9,1,57,T y l e r,tyler{SPACE},1621,J a g g e r ,{SPACE},4457,2,1673,jagger{SPACE},1657,1,0,R,4129,5386
9,1,53,p e r j u r y,perjury{SPACE},2451,l i b e l,{SPACE},7529,4,1766,libel{SPACE},2094,1,0,R,3667,4359
9,1,25,v e r b o s e,verbose{SPACE},2889,l o q u a c i o u s ,outspoken{SPACE},9561,4,5937,loqacious{SPACE},4764,1,0,R,5924,8967
9,1,27,G a n d h i ,gandhi{SPACE},2863,M a n d e l a,{SPACE},7325,4,1988,mandela{SPACE},2469,1,0,R,4189,5715
9,1,2,s p a r s e ,sparse{SPACE},3346,m e a g e r ,{SPACE},8851,4,4945,meager{SPACE},2614,1,0,R,6758,8804
9,1,32,B o w i e,bowie{SPACE},2246,M e r c u r y,{SPACE},5793,2,1703,mercury{SPACE},2169,1,0,R,5867,4235
9,1,46,S h a k e s p e a r e,shakespeare{SPACE},5141,M i l l e r ,{SPACE},3301,3,4406,miller{SPACE},1764,1,0,R,5679,4201
9,1,17,g r a t e,grate{SPACE},1737,m i n c e,mince{SPACE},7913,1,2505,mince{SPACE},2089,1,1,R,3985,5172
9,1,55,i n v a r i a b l e ,invariable{SPACE},3047,m o n o t o n y ,{SPACE},3539,2,1706,monotony{SPACE},3106,1,0,R,4704,6278
9,1,64,H o u s t o n,houston{SPACE},2373,M o n r o e ,madonna{SPACE},8827,1,1552,monroe{SPACE},3734,1,0,R,3615,5335
9,1,15,M a d a g a s c a r ,madagascar{SPACE},4094,N a i r o b i,{SPACE},5965,4,3053,{SPACE},67,1,0,R,5829,9288
9,1,19,i n v a l i d a t e ,invalidate{SPACE},3440,n u l l i f y,,0,4,2194,nullify{SPACE},2576,1,0,R,5411,3331
9,1,8,B e r l i n ,berlin{SPACE},2491,N u r e m b e r g,{SPACE},6606,2,1778,nuremberg{SPACE},3401,1,0,R,6837,7335
9,1,18,s e c r e t i v e,secretive{SPACE},3592,o b s c u r e,{SPACE},9264,4,3218,obscure{SPACE},3457,1,0,R,4904,3737
9,1,44,u n l i m i t e d,unlimited{SPACE},3378,o m n i p o t e n t ,,0,4,1419,omnipotent{SPACE},3938,1,0,R,6278,5359
9,1,43,f l a s h y ,flashy{SPACE},1909,o s t e n t a t i o u s ,{SPACE},6646,4,1187,{SPACE},56,1,0,R,3820,9288
9,1,68,B o o t h,booth{SPACE},1676,O s w a l d ,{SPACE},3235,2,1653,oswald{SPACE},2562,1,0,R,3757,3630
9,1,30,o t t e r,otter{SPACE},1823,O t t a w a ,{SPACE},7888,4,2299,ottawa{SPACE},2463,1,0,P,3828,6793
9,1,48,p a n d a,panda{SPACE},1773,p a n a c e a,prayer{SPACE},5809,1,1544,panacea{SPACE},4158,1,0,P,3416,9288
9,1,69,p a r a c h u t e,parachute{SPACE},2829,p a r a g o n,{SPACE},4802,2,2276,paragon{SPACE},2330,1,0,P,3715,4240
9,1,45,p o l y g o n,polygon{SPACE},2547,p o l y g a m y ,poli,9904,1,3333,poligamy{SPACE},3344,1,0,P,5226,6772
9,1,56,p r e c a r i o u s ,precarious{SPACE},4026,p r e c o c i o u s ,{SPACE},6887,4,1264,precocious{SPACE},5974,1,0,P,5999,8878
9,1,36,p r o f e s s o r,professor{SPACE},2855,p r o p h e c y ,,0,4,4852,prophecy{SPACE},3775,1,0,P,5274,4477
9,1,16,s o f a ,soft{SPACE},3314,S e o u l,{SPACE},5380,4,2571,seoul{SPACE},2144,0,0,P,4668,4696
9,1,21,s h i p ,ship{SPACE},1427,S h a w ,{SPACE},4195,2,1453,shaw{SPACE},1115,1,0,P,3266,3842
9,1,24,s i z z l e ,sizzle{SPACE},1971,S i c i l y ,{SPACE},9209,4,1725,sicily{SPACE},2122,1,0,P,3796,3955
9,1,75,s k y s c r a p e r ,skyscraper{SPACE},4570,S k y w a l k e r,{SPACE},2757,2,1375,skywalker{SPACE},4242,1,0,P,5705,3735
9,1,63,s u r v i v o r ,survivor{SPACE},4228,s u r r o g a t e,,0,1,4576,surrogate{SPACE},3565,1,0,P,4850,5492
9,1,51,t h o r n y ,thorny{SPACE},2335,T h o r e a u,{SPACE},2871,2,1531,thoreau{SPACE},2998,1,0,P,5409,5268
9,1,74,t i p,tip{SPACE},1313,t i c,{SPACE},9096,4,1500,tic{SPACE},1211,1,0,P,3277,3326
9,1,52,t u r m e r i c ,turmeric{SPACE},3059,t s u n a m i,,0,4,2897,tsunami{SPACE},2918,1,0,P,7296,3685
9,1,49,T u r n e r ,turner{SPACE},2084,T u r i n g ,{SPACE},3859,2,2541,turing{SPACE},1875,1,0,P,4679,4715
9,1,72,W a t t ,watt{SPACE},1889,W a t s o n ,{SPACE},4544,4,2205,watson{SPACE},2470,1,0,P,5328,3806
9,1,12,w a k e ,wake{SPACE},1224,W a y n e,,0,4,6086,wayne{SPACE},1948,1,0,P,4129,7456
9,1,76,Y e s t e r d a y,yesterday{SPACE},2632,Y e l l o w s t o n e,{SPACE},8009,4,1310,yellowstone{SPACE},3315,1,0,P,4737,3766
10,1,13,a b d o m e n,abandon{SPACE},3656,a b d i c a t e ,{SPACE},6682,3,3259,abdicate{SPACE},4189,0,0,P,4137,3677
10,1,43,a b o r t i o n ,abortion{SPACE},2291,a b o r i g i n e,{SPACE},7535,2,1211,aborigine{SPACE},2959,1,0,P,2684,3863
10,1,64,a b s o l v e,absolve{SPACE},2362,a b s t a i n,abstain{SPACE},5236,1,915,abstain{SPACE},2565,1,1,P,2109,1206
10,1,60,a d v e r b ,adverb{SPACE},2713,a d v o c a t e ,defen,9315,4,2230,advocate{SPACE},2201,1,0,P,1725,2091
10,1,9,a l c h e m y,alchemy{SPACE},3979,A l c o t t ,austen{SPACE},8207,1,5870,alcott{SPACE},1927,1,0,P,2793,4287
10,1,34,a n a e r o b i c,anaerobic{SPACE},4235,a n a c h r o n i s m,anachronic{SPACE},7764,1,1190,anachronism{SPACE},5241,1,0,P,4241,2808
10,1,10,a n a c o n d a ,anaconda{SPACE},3144,a n a g r a m,{SPACE},8208,4,2751,anagram{SPACE},2020,1,0,P,3889,3419
10,1,28,a n d r o i d,android{SPACE},3482,A n d e s,{SPACE},9827,3,1773,andes{SPACE},2020,1,0,P,2942,2486
10,1,6,A u s t r a l i a,australia{SPACE},5700,A u r o r a ,,0,3,3442,aurora{SPACE},2442,1,0,P,2403,4140
10,1,42,b a n i s t e r ,banister{SPACE},2816,B a n g k o k,{SPACE},4934,2,3089,bankok{SPACE},2268,1,0,P,3230,2196
10,1,74,b a r t e n d e r,bartender{SPACE},2789,b a r t e r ,barter,9900,1,1952,barter{SPACE},1745,1,1,P,2953,1700
10,1,55,B e c k e t t,becket{SPACE},4254,B e c k h a m,beckham{SPACE},5446,1,1036,beckham{SPACE},2546,1,1,P,3312,1768
10,1,47,b i a n n u a l ,biannual{SPACE},3258,b i n o m i a l ,equation{SPACE},8782,1,1173,binomial{SPACE},4730,1,0,P,2625,4224
10,1,17,c a n v a s ,canvas{SPACE},3016,c a r c a s s,carcass{SPACE},5318,1,961,carcass{SPACE},3069,1,1,P,2991,715
10,1,16,c a r a v a n,caravan{SPACE},4098,C a r r o l l,{SPACE},4001,2,1013,carroll{SPACE},2121,1,0,P,2717,3307
10,1,30,c a m e l,camel{SPACE},1337,c h a m e l e o n,chameleon{SPACE},8431,1,1349,chameleon{SPACE},4118,1,1,P,2363,2655
10,1,75,C h a r l e s,charles{SPACE},2295,C h u r c h i l l,{SPACE},6979,4,1175,churchill{SPACE},3564,1,0,P,3227,1645
10,1,11,c o m m e n c e ,commence{SPACE},4920,C l e m e n s,{SPACE},4132,3,2994,clemens{SPACE},3045,1,0,P,2589,2472
10,1,61,c o m p a t i b l e ,compatible{SPACE},2648,c o n g r u e n t,,0,4,1688,congruent{SPACE},3464,1,0,B,2174,1609
10,1,21,C r u i s e ,cruise{SPACE},2390,C o n n e r y,{SPACE},6238,2,1457,connery{SPACE},4001,1,0,B,2489,3731
10,1,33,c o n t r a c t ,contract{SPACE},3267,c o v e n a n t ,{SPACE},5430,3,2396,convenant{SPACE},3217,1,0,B,2718,1951
10,1,14,D e v i l,devil{SPACE},1792,D a n t e,{SPACE},5378,2,170,dante{SPACE},1429,1,0,B,1983,3987
10,1,5,d e f e c t ,defect{SPACE},2109,d e f a u l t,,0,2,1188,default{SPACE},2375,1,0,B,5891,4653
10,1,52,d e l e t e ,delete{SPACE},2706,d e p l e t e,deplete{SPACE},9789,1,888,deplete{SPACE},3716,1,1,B,2650,1421
10,1,40,d i f f e r ,differ{SPACE},1462,d i v e r g e,{SPACE},6454,3,1345,diverge{SPACE},1743,1,0,B,2138,2365
10,1,4,e r r a t i c,erratic{SPACE},3502,e c c e n t r i c,,0,2,2026,eccentric{SPACE},2776,1,0,B,4344,4687
10,1,73,e x i l e,exile{SPACE},1650,e x o r c i s m ,exorcism{SPACE},6283,1,780,exorcism{SPACE},3151,1,1,B,2633,2831
10,1,65,F e y n m a n,feynman{SPACE},2492,F a r a d a y,edi,9712,4,1779,faraday{SPACE},3523,1,0,B,5340,2285
10,1,31,f o r e s t ,forest{SPACE},3647,f o l i a g e,foliage{SPACE},8929,1,978,foliage{SPACE},2249,1,1,B,2281,2158
10,1,45,G a r n e r ,garner{SPACE},1625,G a r l a n d,{SPACE},1826,2,1107,garland{SPACE},2697,1,0,B,3173,3174
10,1,44,g o b b l e ,gobble{SPACE},1481,g o s l i n g,{SPACE},4841,2,1096,goslin{SPACE},1913,1,0,B,2275,3291
10,1,62,H o o v e r ,hoover{SPACE},1585,H a n c o c k,jefferson{SPACE},6940,1,946,hancock{SPACE},2750,1,0,B,2900,1348
10,1,76,H o l l a n d,holland{SPACE},3776,H e l s i n k i ,denmark{SPACE},5757,3,1782,helsinki{SPACE},3511,1,0,B,2198,7846
10,1,35,h e a v e,heave{SPACE},2479,h o i s t,{SPACE},9169,3,1415,hoist{SPACE},2067,1,0,B,2354,1619
10,1,72,H i t l e r ,hitler{SPACE},1351,H u s s e i n,{SPACE},9053,2,695,hussein{SPACE},2434,1,0,B,2639,3100
10,1,26,i n d i v i d u a l i s m,individualism{SPACE},3989,i d i o s y n c r a s y ,{SPACE},7065,3,1497,idiosyncracy{SPACE},4534,1,0,B,3285,4836
10,1,18,o t t e r,otter{SPACE},1321,i n t e r j e c t,{SPACE},4943,3,2106,interject{SPACE},4036,1,0,U,3622,3967
10,1,50,p a n d a,panda{SPACE},1968,J a g g e r ,mcc,9963,3,2942,jagger{SPACE},1586,1,0,U,2450,2084
10,1,71,p a r a c h u t e,parachute{SPACE},3654,l i b e l,libel{SPACE},7176,1,807,libel{SPACE},1470,1,1,U,2671,1148
10,1,37,p o l y g o n,polygon{SPACE},3304,l o q u a c i o u s ,{SPACE},9513,3,2111,loquatious{SPACE},3691,1,0,U,1758,2427
10,1,48,p r e c a r i o u s ,precarious{SPACE},3822,M a n d e l a,{SPACE},7289,4,1472,mandela{SPACE},3259,1,0,U,3962,1593
10,1,66,p r o f e s s o r,professor{SPACE},3946,m e a g e r ,{SPACE},8351,3,391,meager{SPACE},1547,1,0,U,2925,2110
10,1,24,a b a n d o n,abandon{SPACE},4750,M e r c u r y,{SPACE},5921,2,1266,mercury{SPACE},3847,1,0,U,2330,2291
10,1,8,a b r o a d ,abroad{SPACE},3066,M i l l e r ,{SPACE},5557,2,742,miller{SPACE},1580,1,0,U,3174,2811
10,1,68,a v o i d,avoid{SPACE},2625,m i n c e,mince{SPACE},5407,1,854,mince{SPACE},1526,1,1,U,2217,1341
10,1,41,a d v a n c e,advance{SPACE},2060,m o n o t o n y ,monotony{SPACE},8835,1,1031,monotony{SPACE},3828,1,1,U,2295,1971
10,1,7,A u s t e n ,austen{SPACE},3372,M o n r o e ,{SPACE},8891,3,1245,{SHIFT}Monroe{SPACE},3219,1,0,U,4459,3783
10,1,27,a b n o r m a l i t y,abnormality{SPACE},3969,N a i r o b i,{SPACE},6277,2,1271,nairobi{SPACE},3875,1,0,U,3663,3250
10,1,51,p a r a l l e l ,parallel{SPACE},10706,n u l l i f y,nullify{SPACE},5430,1,1068,nullify{SPACE},2868,1,1,U,2784,1321
10,1,54,B r o s n a n,brosnan{SPACE},3366,N u r e m b e r g,{SPACE},4147,2,1041,nuremberg{SPACE},4281,1,0,U,4934,2459
10,1,69,p r o t o c o l ,protocol{SPACE},2840,o b s c u r e,unveil,9998,3,1889,obscure{SPACE},2638,1,0,U,2425,2230
10,1,22,H o m e r,homer{SPACE},1591,o m n i p o t e n t ,omnipotent{SPACE},7906,1,1438,omnipotent{SPACE},3431,1,1,U,3188,1657
10,1,53,s u r r e n d e r,surrender{SPACE},2201,o s t e n t a t i o u s ,{SPACE},6746,3,2088,ostentatious{SPACE},3809,1,0,U,2741,4364
10,1,59,c o n s u m e,consult{SPACE},4365,O s w a l d ,{SPACE},6608,4,1637,oswald{SPACE},2583,0,0,U,1498,1623
10,1,29,T o r o n t o,toronto{SPACE},1841,O t t a w a ,ontario{SPACE},5808,3,5638,ottawa{SPACE},2361,1,0,R,2433,4688
10,1,67,r e m e d y ,remedy{SPACE},2244,p a n a c e a,{SPACE},7571,4,1405,panacea{SPACE},3148,1,0,R,2171,1930
10,1,12,i d e a l,ideal{SPACE},2139,p a r a g o n,{SPACE},8046,3,2196,paragon{SPACE},2189,1,0,R,4890,3894
10,1,63,m a r r i a g e ,marriage{SPACE},2457,p o l y g a m y ,polygamy{SPACE},6830,1,760,polygamy{SPACE},2805,1,1,R,2091,1038
10,1,3,a d v a n c e d ,advanced{SPACE},9785,p r e c o c i o u s ,{SPACE},9380,2,1249,precocious{SPACE},4745,1,0,R,4323,7817
10,1,56,f o r e c a s t ,forecast{SPACE},2139,p r o p h e c y ,{SPACE},9149,3,580,prophecy{SPACE},4130,1,0,R,2693,2767
10,1,15,T o k y o,tokyo{SPACE},2248,S e o u l,seoul{SPACE},4023,1,1849,{SPACE},4977,1,1,R,1376,685
10,1,57,W i l d e,wilde{SPACE},2638,S h a w ,{SPACE},1660,2,852,shaw{SPACE},1165,1,0,R,2946,1880
10,1,49,C o r s i c a,corisca{SPACE},3076,S i c i l y ,{SPACE},4799,2,1425,sicily{SPACE},2422,1,0,R,5266,2138
10,1,36,L e i a ,leia{SPACE},1734,S k y w a l k e r,skywalker{SPACE},6315,1,747,skywalker{SPACE},2650,1,1,R,3337,1827
10,1,32,m i d w i f e,midwife{SPACE},3115,s u r r o g a t e,surrogate,9828,1,2744,surrogate{SPACE},3157,1,1,R,2793,2137
10,1,23,E m e r s o n,emerson{SPACE},3106,T h o r e a u,{SPACE},7404,2,1310,thoreau{SPACE},2415,1,0,R,2888,3480
10,1,70,j e r k ,jerk{SPACE},1684,t i c,{SPACE},7611,3,1716,tic{SPACE},1134,1,0,R,2336,2096
10,1,19,h u r r i c a n e,hurricane{SPACE},3110,t s u n a m i,tsunami{SPACE},5567,1,1568,tsunami{SPACE},3646,1,1,R,2838,1781
10,1,2,H a w k i n g,hawking{SPACE},5052,T u r i n g ,{SPACE},5522,2,2053,turing{SPACE},1579,1,0,R,4130,4792
10,1,25,D o y l e,doyle{SPACE},1590,W a t s o n ,{SPACE},5952,2,1312,watson{SPACE},2281,1,0,R,2389,2107
10,1,38,K e n t ,kent{SPACE},1260,W a y n e,{SPACE},6292,3,2005,wayne{SPACE},1604,1,0,R,2144,2470
10,1,46,G l a c i e r,glacier{SPACE},1912,Y e l l o w s t o n e,yellowstone{SPACE},6485,1,1150,yellowstone{SPACE},5318,1,1,R,2442,1224
11,1,19,a b d o m e n,abdomen{SPACE},2470,a b d i c a t e ,denounce,8715,3,3214,abdicate{SPACE},2034,1,0,P,3733,5196
11,1,7,a b o r t i o n ,abortion{SPACE},2186,a b o r i g i n e,,0,2,1916,aboriginie{SPACE},4324,1,0,P,2861,2652
11,1,24,a b s o l v e,absolve{SPACE},2548,a b s t a i n,holdback,9753,3,1529,abstain{SPACE},2231,1,0,P,3684,2206
11,1,49,a d v e r b ,adverb{SPACE},2262,a d v o c a t e ,puton{SPACE},7107,3,786,advocate{SPACE},1872,1,0,P,2103,1833
11,1,22,a l c h e m y,alchemy{SPACE},2457,A l c o t t ,{SPACE},2512,2,1058,alcott{SPACE},1871,1,0,P,3257,3479
11,1,65,a n a e r o b i c,anaerobic{SPACE},12205,a n a c h r o n i s m,nost,9886,3,2744,anachronism{SPACE},4471,1,0,P,3709,6716
11,1,59,a n a c o n d a ,anaconda{SPACE},2025,a n a g r a m,,8433,4,1188,{SPACE},185,1,0,P,3107,1642
11,1,18,a n d r o i d,android{SPACE},1897,A n d e s,{SPACE},6295,2,996,andes{SPACE},1798,1,0,P,2403,2238
11,1,72,A u s t r a l i a,{SHIFT}Australia{SPACE},5053,A u r o r a ,{SHIFT}Snow{SPACE},6501,2,2698,{SHIFT}Aurora{SPACE},2499,1,0,P,2843,5327
